created,text,boro,boro_code,street,alarm
2019-03-23T18:31:55Z,"QNS ALLHANDS 200 WEST PERIMETER RD, FIRE IN STORAGE SHED, UNDER CONTROL",QN,4,200 WEST PERIMETER RD,9
2019-03-23T17:34:33Z,"QNS ALLHANDS 18-18 HAZEN STREET, GARAGE FIRE IN STORAGE SHED,",QN,4,18-18 HAZEN STREET,1
2019-03-23T11:08:53Z,"BKLYN ALLHANDS 715 DUMONT AVE, MULTIPLE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",BK,3,715 DUMONT AVE,9
2019-03-23T10:45:28Z,"BKLYN ALLHANDS 715 DUMONT AVE, MULTIPLE DWELLING FIRE ON 2ND FLR,",BK,3,715 DUMONT AVE,1
2019-03-22T23:58:13Z,"QNS ALLHANDS 120-23 LIBERTY AVE, MIXED OCCUPANCY FIRE ON 2ND AND 3RD FLR, UNDER CONTROL",QN,4,120-23 LIBERTY AVE,9
2019-03-22T23:32:11Z,"QNS ALLHANDS 120-23 LIBERTY AVE, MIXED OCCUPANCY FIRE ON 2ND AND 3RD FLR,",QN,4,120-23 LIBERTY AVE,1
2019-03-22T23:31:57Z,"BKLYN ALLHANDS 901 AVE H, RUBBISH FIRE FIRST FLR, UNDER CONTROL",BK,3,901 AVE H,9
2019-03-22T19:13:48Z,"BX 4-ALARM 2467 WEBSTER AVE, COMMERCIAL FIRE IN LAUNDROMAT, UNDER CONTROL",BX,2,2467 WEBSTER AVE,9
2019-03-22T18:13:35Z,"BX 4-ALARM 2465 WEBSTER AVE, COMMERCIAL FIRE IN LAUNDROMAT,",BX,2,2465 WEBSTER AVE,4
2019-03-22T17:13:54Z,"BX 3-ALARM 2465 WEBSTER AVE, COMMERCIAL FIRE IN LAUNDROMAT,",BX,2,2465 WEBSTER AVE,3
2019-03-22T16:55:21Z,"BX 2-ALARM 2465 WEBSTER AVE, COMMERCIAL FIRE IN LAUNDROMAT,",BX,2,2465 WEBSTER AVE,2
2019-03-22T13:28:57Z,"BX ALLHANDS 2424 BEAUMONT AVE, MULTIPLE DWELLING FIRE 3RD FLR, UNDER CONTROL",BX,2,2424 BEAUMONT AVE,9
2019-03-22T09:56:38Z,"MAN ALLHANDS 1301 AVE OF AMERICAS, COMMERCIAL FIRE IN BASEMENT, UNDER CONTROL",MH,1,1301 AVE OF AMERICAS,9
2019-03-22T09:07:10Z,"SI ALLHANDS 99 ELLIS ST, COMMERCIAL FIRE 1ST FLR, UNDER CONTROL",SI,5,99 ELLIS ST,9
2019-03-22T08:27:11Z,"SI ALLHANDS 99 ELLIS ST, COMMERCIAL FIRE 1ST FLR,",SI,5,99 ELLIS ST,1
2019-03-22T05:06:48Z,"MAN ALLHANDS 1301 AVE OF AMERICAS, COMMERCIAL",MH,1,1301 AVE OF AMERICAS,1
2019-03-22T02:21:33Z,"BKLYN ALLHANDS 484 CENTRAL AVE, MULTIPLE DWELLING FIRE ON 1ST FLR,",BK,3,484 CENTRAL AVE,1
2019-03-22T00:56:23Z,"BKLYN ALLHANDS 1181 TRUCKLEMANS LA, PRIVATE DWELLING FIRE ON THE 1ST FLR, UNDER CONTROL",BK,3,1181 TRUCKLEMANS LA,9
2019-03-22T00:30:59Z,"BX ALLHANDS 890 HOME ST, PRIVATE DWELLING FIRE ON 1ST FLR WITH EXTENSION TO 2ND, UNDER CONTROL",BX,2,890 HOME ST,9
