input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
110-10 164 ST,40.69350172186867,-73.78794665804821,4101900007,50, 264  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
107-39 159 ST,40.695981128811326,-73.79448050032866,4101250033,50, 254  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
107-39 159 ST,40.695981128811326,-73.79448050032866,4101250033,50, 254  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
107-39 159 ST,40.695981128811326,-73.79448050032866,4101250033,50, 254  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,ADULT FAMILY,4,8
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,FAMILY WITH CHILDREN,20,58
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,SINGLE ADULT,60,60
HENRY ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,ADULT FAMILY,4,8
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,FAMILY WITH CHILDREN,20,58
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,SINGLE ADULT,60,60
HENRY ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,ADULT FAMILY,4,8
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,FAMILY WITH CHILDREN,20,58
620 8 AVE,40.75603837315726,-73.99065143118263,1010127501,07, 113  ,105,12/31/2019,Manhattan,SINGLE ADULT,60,60
